yaw,pitch,legibile,size,label
-47.3,25.7,FALSE,201,0
2.11,18.17,TRUE,122.9,1
45.19,42.13,FALSE,10.6,0
-33.54,0.72,FALSE,6.5,0
18.72,4.42,TRUE,17.3,1
46.41,-24.57,TRUE,122.9,1
-36.77,-46.74,FALSE,122.9,0
10.83,-46.37,FALSE,28.3,0
33.15,-45.88,TRUE,201,1
-38.73,19.1,TRUE,201,1
-6.97,21.27,TRUE,28.3,1
44.15,29.73,FALSE,28.3,0
-31.34,-11.99,FALSE,6.5,0
-5.76,-3.01,TRUE,10.6,1
38.54,-16.15,TRUE,201,1
-46.18,-50.11,FALSE,6.5,0
-16.9,-39.26,FALSE,6.5,0
40.56,-50.14,FALSE,17.3,0
-37.73,16.62,TRUE,75.3,1
2.22,21.77,TRUE,122.9,1
31.69,16.34,FALSE,17.3,0
-43.81,3.52,FALSE,28.3,0
23.48,-18.16,TRUE,10.6,1
44.58,-22.88,TRUE,75.3,1
-47.46,-52.05,FALSE,28.3,0
-2.71,-31.22,TRUE,28.3,1
32,-43.42,TRUE,75.3,1
-53.21,34.14,FALSE,10.6,0
4.7,42.55,FALSE,46.1,0
43.23,39.23,FALSE,10.6,0
-52.57,-13.93,FALSE,201,0
0.58,3.8,TRUE,122.9,1
48.54,-16.9,FALSE,28.3,0
-34.3,-44.52,TRUE,201,1
0.84,-49.51,FALSE,10.6,0
36.5,-49.33,FALSE,17.3,0
-41.51,32.06,FALSE,17.3,0
-8.79,26.08,TRUE,122.9,1
42.61,41.33,FALSE,46.1,0
-47.79,-13.48,FALSE,6.5,0
-22.24,-28.63,FALSE,6.5,0
52.35,-15.51,TRUE,75.3,1
-34.09,-34.33,FALSE,6.5,0
-5.51,-42.98,FALSE,122.9,0
53.31,-48.55,FALSE,17.3,0
-39.79,19.49,TRUE,75.3,1
-17.9,28.2,FALSE,10.6,0
39.09,26.48,FALSE,75.3,0
-47.53,0.05,TRUE,122.9,1
5.5,-27.1,FALSE,10.6,0
45.16,6.98,FALSE,17.3,0
