Section,GlobalIndex,LocalIndex,TargetChar,Yaw,Pitch,UserInput,IsCorrect,FontSize,SpawnZone,,Label,,,,,,,,,,,
1,1,1,L,-37.97,38.91,NotVisible,FALSE,122.9,Grid_Top-Left,,1,,,,,,,,,,,
1,2,2,D,19.42,29.49,D,TRUE,201,Grid_Top-Center,,0,,,,,,,,,,,
1,3,3,C,29.65,28.99,NotVisible,FALSE,6.5,Grid_Top-Right,,1,,,,,,,,,,,
1,4,4,Z,-39.31,-14.7,Z,TRUE,75.3,Grid_Middle-Left,,0,,,Top-Left,Top-Center,Top-Right,Middle-Left,Middle-Center,Middle-Right,Bottom-Left,Bottom-Center,Bottom-Right
1,5,5,F,15.48,-6.88,F,TRUE,75.3,Grid_Middle-Center,,0,,,155,155,155,155,155,155,155,155,155
1,6,6,O,41.32,-1.2,O,TRUE,28.3,Grid_Middle-Right,,0,,,,,,,,,,,
1,7,7,E,-49.41,-39.58,NotVisible,FALSE,28.3,Grid_Bottom-Left,,1,,,,,,,,,,,
1,8,8,P,21.02,-40.24,NotVisible,FALSE,6.5,Grid_Bottom-Center,,1,,,,,,,,,,,
1,9,9,T,27.69,-44.68,T,TRUE,28.3,Grid_Bottom-Right,,0,,,,,,,,,,,
2,10,1,L,-48.47,22.07,NotVisible,FALSE,17.3,Grid_Top-Left,,1,,,,,,,,,,,
2,11,2,C,-3.97,24.35,C,TRUE,28.3,Grid_Top-Center,,0,,,,,,,,,,,
2,12,3,D,49.54,37.14,NotVisible,FALSE,28.3,Grid_Top-Right,,1,,,,,,,,,,,
2,13,4,P,-35.62,3.76,P,TRUE,122.9,Grid_Middle-Left,,0,,,,,,,,,,,
2,14,5,T,10,-23.68,NotVisible,FALSE,6.5,Grid_Middle-Center,,1,,,,,,,,,,,
2,15,6,O,30.55,-27.38,D,FALSE,17.3,Grid_Middle-Right,,1,,,,,,,,,,,
2,16,7,E,-29.42,-34.71,E,TRUE,28.3,Grid_Bottom-Left,,0,,,,,,,,,,,
2,17,8,F,4.15,-44.17,F,TRUE,201,Grid_Bottom-Center,,0,,,,,,,,,,,
2,18,9,Z,45.26,-44.98,NotVisible,FALSE,10.6,Grid_Bottom-Right,,1,,,,,,,,,,,
3,19,1,O,-35.95,18.54,O,TRUE,201,Grid_Top-Left,,0,,,,,,,,,,,
3,20,2,L,-6.59,25.01,L,TRUE,201,Grid_Top-Center,,0,,,,,,,,,,,
3,21,3,T,46.88,22.9,NotVisible,FALSE,28.3,Grid_Top-Right,,1,,,,,,,,,,,
3,22,4,F,-35.6,-6.37,F,TRUE,122.9,Grid_Middle-Left,,0,,,,,,,,,,,
3,23,5,D,-15.17,5.07,D,TRUE,17.3,Grid_Middle-Center,,0,,,,,,,,,,,
3,24,6,Z,47.08,2.32,Z,TRUE,46.1,Grid_Middle-Right,,0,,,,,,,,,,,
3,25,7,E,-45.07,-49.91,NotVisible,FALSE,28.3,Grid_Bottom-Left,,1,,,,,,,,,,,
3,26,8,C,3.95,-39.25,C,TRUE,75.3,Grid_Bottom-Center,,0,,,,,,,,,,,
3,27,9,P,43.25,-31.73,NotVisible,FALSE,17.3,Grid_Bottom-Right,,1,,,,,,,,,,,
4,28,1,E,-34.55,37.93,NotVisible,FALSE,17.3,Grid_Top-Left,,1,,,,,,,,,,,
4,29,2,T,16.74,41.7,NotVisible,FALSE,28.3,Grid_Top-Center,,1,,,,,,,,,,,
4,30,3,Z,50.61,36.23,NotVisible,FALSE,17.3,Grid_Top-Right,,1,,,,,,,,,,,
4,31,4,F,-50,2.32,NotVisible,FALSE,46.1,Grid_Middle-Left,,1,,,,,,,,,,,
4,32,5,L,-13.31,-17.05,NotVisible,FALSE,6.5,Grid_Middle-Center,,1,,,,,,,,,,,
4,33,6,C,51.43,-21.66,NotVisible,FALSE,17.3,Grid_Middle-Right,,1,,,,,,,,,,,
4,34,7,D,-27.61,-52.71,NotVisible,FALSE,6.5,Grid_Bottom-Left,,1,,,,,,,,,,,
4,35,8,O,-0.55,-52.04,NotVisible,FALSE,10.6,Grid_Bottom-Center,,1,,,,,,,,,,,
4,36,9,P,49.72,-36.59,NotVisible,FALSE,28.3,Grid_Bottom-Right,,1,,,,,,,,,,,
5,37,1,C,-27.89,14.32,NotVisible,FALSE,10.6,Grid_Top-Left,,1,,,,,,,,,,,
5,38,2,F,9.91,16.38,NotVisible,FALSE,28.3,Grid_Top-Center,,1,,,,,,,,,,,
5,39,3,Z,52.28,16.63,NotVisible,FALSE,122.9,Grid_Top-Right,,1,,,,,,,,,,,
5,40,4,P,-35.57,-16.82,NotVisible,FALSE,6.5,Grid_Middle-Left,,1,,,,,,,,,,,
5,41,5,L,18.09,5.4,L,TRUE,28.3,Grid_Middle-Center,,0,,,,,,,,,,,
5,42,6,T,40.48,-25.77,T,TRUE,75.3,Grid_Middle-Right,,0,,,,,,,,,,,
5,43,7,E,-41.24,-33.2,E,TRUE,46.1,Grid_Bottom-Left,,0,,,,,,,,,,,
5,44,8,O,14.45,-42.78,O,TRUE,17.3,Grid_Bottom-Center,,0,,,,,,,,,,,
5,45,9,D,33.8,-43.45,D,TRUE,201,Grid_Bottom-Right,,0,,,,,,,,,,,
6,46,1,L,-50.77,20.77,NotVisible,FALSE,17.3,Grid_Top-Left,,1,,,,,,,,,,,
6,47,2,F,3.02,18.6,NotVisible,FALSE,10.6,Grid_Top-Center,,1,,,,,,,,,,,
6,48,3,T,34.68,12.25,NotVisible,FALSE,10.6,Grid_Top-Right,,1,,,,,,,,,,,
6,49,4,O,-30.18,1.84,NotVisible,FALSE,17.3,Grid_Middle-Left,,1,,,,,,,,,,,
6,50,5,Z,24.21,-15.73,Z,TRUE,46.1,Grid_Middle-Center,,0,,,,,,,,,,,
6,51,6,P,48.77,-16.3,NotVisible,FALSE,46.1,Grid_Middle-Right,,1,,,,,,,,,,,
6,52,7,C,-53.84,-43.24,NotVisible,FALSE,122.9,Grid_Bottom-Left,,1,,,,,,,,,,,
6,53,8,E,10.09,-48.17,NotVisible,FALSE,17.3,Grid_Bottom-Center,,1,,,,,,,,,,,
